SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
HCBN1_S211	HCBN1	1	N1	Gv	Lansing	CS	HN		81	1	6.08
HCBN2_S223	HCBN2	1	N2	Gv	Lansing	CS	HN		81	3	7.58
HCBN3_S235	HCBN3	1	N3	Gv	Lansing	CS	HN		81	5	7.05
HCBF1_S247	HCBF1	1	F1	Gv	Florence	CS	HN		81	7	2.32
HCBF2_S259	HCBF2	1	F2	Gv	Florence	CS	HN		81	9	2.08
HCBF3_S271	HCBF3	1	F3	Gv	Florence	CS	HN		81	1	1.89
HCBP1_S283	HCBP1	1	P1	Gv	Pendelton	CS	HN		81	3	9.18
HCBP2_S200	HCBP2	1	P2	Gv	Pendelton	CS	HN		81	0	6.87
HCBP3_S212	HCBP3	1	P3	Gv	Pendelton	CS	HN		81	2	3.85
HCBS1_S224	HCBS1	1	S1	Gv	Sand	CS	HN		81	4	0.05
HCBS2_S236	HCBS2	1	S2	Gv	Sand	CS	HN		81	6	0.303
HCBS3_S248	HCBS3	1	S3	Gv	Sand	CS	HN		81	8	0.05
HCRN1_S260	HCRN1	1	N1	Gv	Lansing	RT	HN		81	0	14.9
HCRN2_S272	HCRN2	1	N2	Gv	Lansing	RT	HN		81	2	4.1
HCRN3_S284	HCRN3	1	N3	Gv	Lansing	RT	HN		81	4	3.92
HCRF1_S201	HCRF1	1	F1	Gv	Florence	RT	HN		81	1	4.29
HCRF2_S213	HCRF2	1	F2	Gv	Florence	RT	HN		81	3	3.87
HCRF3_S225	HCRF3	1	F3	Gv	Florence	RT	HN		81	5	9.21
HCRP1_S237	HCRP1	1	P1	Gv	Pendelton	RT	HN		81	7	14.7
HCRP2_S249	HCRP2	1	P2	Gv	Pendelton	RT	HN		81	9	5.9
HCRP3_S261	HCRP3	1	P3	Gv	Pendelton	RT	HN		81	1	8.96
HCRS1_S273	HCRS1	1	S1	Gv	Sand	RT	HN		81	3	3.81
HCRS2_S285	HCRS2	1	S2	Gv	Sand	RT	HN		81	5	2.68
HCRS3_S202	HCRS3	1	S3	Gv	Sand	RT	HN		81	2	3.6
HCHN1_S214	HCHN1	1	N1	Gv	Lansing	CH	HN		81	4	0.57
HCHN2_S226	HCHN2	1	N2	Gv	Lansing	CH	HN		81	6	0.1
HCHN3_S238	HCHN3	1	N3	Gv	Lansing	CH	HN		81	8	0.12
HCHF1_S250	HCHF1	1	F1	Gv	Florence	CH	HN		81	0	0.28
HCHF2_S262	HCHF2	1	F2	Gv	Florence	CH	HN		81	2	0.11
HCHF3_S274	HCHF3	1	F3	Gv	Florence	CH	HN		81	4	0.07
HCHP1_S286	HCHP1	1	P1	Gv	Pendelton	CH	HN		81	6	0.11
HCHP2_S203	HCHP2	1	P2	Gv	Pendelton	CH	HN		81	3	0.3
HCHP3_S215	HCHP3	1	P3	Gv	Pendelton	CH	HN		81	5	0.15
HCHS1_S227	HCHS1	1	S1	Gv	Sand	CH	HN		81	7	0.01
HCHS2_S239	HCHS2	1	S2	Gv	Sand	CH	HN		81	9	0.01
HCHS3_S251	HCHS3	1	S3	Gv	Sand	CH	HN		81	1	0.05
Hneg1_S263	Hneg1	1				EB					0
10xBLS156_S303	10xBLS156	1				MK					
2xBLS143_S297	2xBLS143	1				MK					
5xBLS120_S300	5xBLS120	1				MK					
BaseA_S310	BaseA	1				MK					
BaseB_S291	BaseB	1				MK					
BaseC_S294	BaseC	1				MK					
NegativeH2O_S282	NegativeH2O	1				PB					
UMGC_H2O_001_A04_S4	UMGC_H2O_001_A04_S4	1				PB					
UMGC_H2O_001_A06_S6	UMGC_H2O_001_A06_S6	1				PB					
UMGC_H2O_002_B04_S112	UMGC_H2O_002_B04_S112	1				PB					
UMGC_H2O_002_B06_S114	UMGC_H2O_002_B06_S114	1				PB					
UMGC_H2O_003_A07_S199	UMGC_H2O_003_A07_S199	1				PB					
UMGC_H2O_003_G11_S275	UMGC_H2O_003_G11_S275	1				PB					
UMGC_H2O_004_F03_S306	UMGC_H2O_004_F03_S306	1				PB					
1_3.1RH	3.1RH	2	3.1	Gv	Lansing	RH	HN	1	14	3	0.184
2_3.1BP	3.1BP	2	3.1	Gv	Lansing	BP	HN	1	14	3	0.727
3_2.1CH	2.1CH	2	2.1	Gv	Lansing	CH	HN	1	14	2	0.238
4_2.1BP	2.1BP	2	2.1	Gv	Lansing	BP	HN	1	14	2	2.309
5_1.1RH	1.1RH	2	1.1	Gv	Lansing	RH	HN	1	14	1	0.174
6_3.1CH	3.1CH	2	3.1	Gv	Lansing	CH	HN	1	14	3	0.176
7_2.1CS	2.1CS	2	2.1	Gv	Lansing	CS	HN	1	14	2	3.054
8_1.1BP	1.1BP	2	1.1	Gv	Lansing	BP	HN	1	14	1	1.067
9_1.1CH	1.1CH	2	1.1	Gv	Lansing	CH	HN	1	14	1	0.325
10_2.1RH	2.1RH	2	2.1	Gv	Lansing	RH	HN	1	14	2	0.178
11_1.1CS	1.1CS	2	1.1	Gv	Lansing	CS	HN	1	14	1	2.116
12_3.1CS	3.1CS	2	3.1	Gv	Lansing	CS	HN	1	14	3	3.075
13_1.2RH	1.2RH	2	1.2	Gv	Lansing	RH	HN	2	24	1	0.154
14_1.2CH	1.2CH	2	1.2	Gv	Lansing	CH	HN	2	24	1	0.17
