"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"1"	0.719339817948431	3.12405297246996	3.05541449778632	1.02246453786659	0.306561088479373	0.427997558404464	"ASV11489"	"RH-RT"	1
"2"	0	NA	NA	NA	NA	NA	"ASV11644"	"RH-RT"	1
"3"	0	NA	NA	NA	NA	NA	"ASV3656"	"RH-RT"	1
"4"	0	NA	NA	NA	NA	NA	"ASV562"	"RH-RT"	1
"5"	0.33213145007426	2.13711538484519	3.09154085672713	0.691278389607847	0.489390609707636	0.562712429779081	"ASV2718"	"RH-RT"	1
"6"	0	NA	NA	NA	NA	NA	"ASV3076"	"RH-RT"	1
"7"	4.57603647733181	5.79296752541958	3.01153764957289	1.92359126781668	NA	NA	"ASV860"	"RH-RT"	1
"8"	0	NA	NA	NA	NA	NA	"ASV2001"	"RH-RT"	1
"9"	0	NA	NA	NA	NA	NA	"ASV4356"	"RH-RT"	1
"10"	8.05371643276349	6.59815506419752	3.00796851328425	2.19355855457188	0.0282671607145221	0.246057096957954	"ASV533"	"RH-RT"	1
"11"	0	NA	NA	NA	NA	NA	"ASV8489"	"RH-RT"	1
"12"	0	NA	NA	NA	NA	NA	"ASV938"	"RH-RT"	1
"13"	0	NA	NA	NA	NA	NA	"ASV1713"	"RH-RT"	1
"14"	0	NA	NA	NA	NA	NA	"ASV3492"	"RH-RT"	1
"15"	0	NA	NA	NA	NA	NA	"ASV4719"	"RH-RT"	1
"16"	2.35618806456594	4.81182440250697	3.0196268063841	1.59351625582797	0.111044424530449	0.332504642392922	"ASV5436"	"RH-RT"	1
"17"	0	NA	NA	NA	NA	NA	"ASV4226"	"RH-RT"	1
"18"	0	NA	NA	NA	NA	NA	"ASV3044"	"RH-RT"	1
"19"	0	NA	NA	NA	NA	NA	"ASV3562"	"RH-RT"	1
"20"	0	NA	NA	NA	NA	NA	"ASV6168"	"RH-RT"	1
"21"	0	NA	NA	NA	NA	NA	"ASV10586"	"RH-RT"	1
"22"	0	NA	NA	NA	NA	NA	"ASV4474"	"RH-RT"	1
"23"	0	NA	NA	NA	NA	NA	"ASV2488"	"RH-RT"	1
