"OTU"	"Phylum"	"Class"	"Family"	"Genus"	"BP"	"BS"	"CH"	"CS"	"RH"	"RT"
"1"	"ASV100"	"Proteobacteria"	"Alphaproteobacteria"	"Xanthobacteraceae"	NA	0.00311527061024867	0.00416119384707327	0.00249002033194126	0.00374231708708602	0.000230251640855343	0
"2"	"ASV1000"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"	0.000363599361816222	0.00074537941236567	0.000158267735240497	0.00026840923201622	3.1144554169805e-05	0
"3"	"ASV1002"	"Actinobacteria"	"Actinobacteria"	"Microbacteriaceae"	"Agromyces"	0.000507631725485785	0.000406369872993438	0.000361223553225429	0.000407473188857236	0.000141976436369084	0
"4"	"ASV1003"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadaceae"	NA	0.000628482316500713	0.000273579451603138	8.65684007319946e-05	0.00053374035458166	4.62965484561463e-05	0
"5"	"ASV10035"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacteraceae"	NA	0	0	0	0	3.55307291510787e-05	1.31895330859129e-05
"6"	"ASV10036"	"Chloroflexi"	"Chloroflexia"	"JG30-KF-CM45"	NA	0	2.04232218620708e-05	3.08669920733564e-06	1.62365845220387e-05	5.95248724679607e-06	0
"7"	"ASV1004"	"Bacteroidetes"	"Bacteroidia"	"Hymenobacteraceae"	"Adhaeribacter"	0.000397842808697399	0.000697044073003609	0.000155796252328439	0.000442905565530713	1.74779559280857e-05	0
"8"	"ASV10049"	"Chlamydiae"	"Chlamydiae"	"Parachlamydiaceae"	NA	0	1.95719697332491e-05	0	1.5674315531615e-05	0	0
"9"	"ASV1005"	"Proteobacteria"	"Alphaproteobacteria"	"Beijerinckiaceae"	"Microvirga"	0.000439269416066444	0.000450640120813726	0.000267272707530256	0.000524297149955325	5.66935753366612e-05	0
"10"	"ASV10054"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	NA	0	3.11131605052783e-05	0	2.90447527076011e-05	0	0
"11"	"ASV1006"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacteraceae"	"Chthoniobacter"	0.000283778926960321	0.000764889684402491	0.000259801394164627	0.0004384019059736	6.78033864742613e-05	0
"12"	"ASV10065"	"Proteobacteria"	"Deltaproteobacteria"	"BIrii41"	NA	2.52576658984076e-05	8.7728532828017e-06	0	3.06986396409487e-06	0	0
"13"	"ASV10071"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaeraceae"	"ADurb.Bin063-1"	1.30652347169417e-06	5.84177548501393e-05	1.02889973577855e-06	1.02881399351641e-06	0	0
"14"	"ASV10073"	"Planctomycetes"	"Phycisphaerae"	"Tepidisphaeraceae"	NA	7.91389680278569e-06	1.29268341188871e-05	0	1.8245819486815e-05	0	0
"15"	"ASV1008"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiaceae"	NA	0.000989002509410296	0.000243181949318917	0.00014735428480633	0.000232049425338686	0	0
