ASV	OTU	Phylum	Class	Family	Genus	BP	BS	CH	CS	RH	RT	meanAbund	sumAbund	CH-BS	CH-CS	RH-CS
ASV2719	ASV2719	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Aminobacter	3.77738604885e-05	0.000155094359547	9.57550039796e-05	2.5078369906e-05	0.000176848590483	1.32453839837e-05	0.000192868220035	0.000452776323916			
BE42																
ASV2717	ASV2717	Armatimonadetes	Fimbriimonadia	Fimbriimonadaceae		0.000153587682347	3.00908327248e-05	0.000187242195867	3.98415987727e-05	2.88265930125e-05	1.06041246783e-05	0.000183678515072	0.000286001220377	1.0		
BE41																
ASV2481	ASV2481	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.000175818176555	0.0	0.000325305563029	1.36187830255e-05	0.0	0.0	0.000175818176555	0.000338924346055		1.0	
ASV3270	ASV3270	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Ensifer	0.000116178820773	1.28917895415e-05	8.81453242471e-05	7.49320823768e-05	9.83512236941e-06	0.0	0.000129070610315	0.000185804318535			
ASV5417	ASV5417	Proteobacteria	Alphaproteobacteria	Beijerinckiaceae	Microvirga	2.99036587887e-05	2.34016661986e-05	7.08345151873e-05	2.14492095335e-05	0.0	0.0	5.33053249873e-05	0.000115685390919			
ASV1404	ASV1404	Proteobacteria	Alphaproteobacteria	Dongiaceae	Dongia	0.000411755599199	3.71168536968e-05	0.000300670117464	5.10882833997e-05	7.84368648215e-05	0.0	0.000448872452895	0.000467312119382	1.0	1.0	
ASV236	ASV236	Proteobacteria	Alphaproteobacteria	Beijerinckiaceae	Bosea	0.0	0.0	7.77438985688e-05	0.0	0.00389104047521	0.00266763380488	0.0	0.00396878437378			1.0
ASV234	ASV234	Actinobacteria	Actinobacteria	Streptomycetaceae	Streptomyces	0.000187408313014	0.00043470332487	0.00107912669681	0.000367726140917	0.00622760242755	0.000713526076349	0.000622111637884	0.00810915859015			
ASV233	ASV233	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Mesorhizobium	0.0	0.0	0.0	1.17339090771e-05	0.00525895650658	0.00159225045284	0.0	0.00527069041566			1.0
ASV231	ASV231	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	7.33796475508e-05	7.22560755317e-06	0.00593679292252	0.000102703788398	0.000301176676022	9.45701618003e-05	8.0605255104e-05	0.00634789899449	1.0	1.0	
ASV1019	ASV1019	Actinobacteria	Actinobacteria	Streptomycetaceae	Streptomyces	5.95231165041e-05	8.16576269249e-05	0.000970352246112	0.00022538903085	0.000109049485966	0.0	0.000141180743429	0.00138644838985	1.0		
ASV480	ASV480	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Leptothrix	0.000544068743333	3.69308830495e-05	0.00345901677682	1.20673328781e-05	0.000148716215927	6.05504525745e-05	0.000580999626383	0.00365673120868	1.0	1.0	
BE216																
ASV481	ASV481	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Shinella	0.0	2.7837706173e-05	0.000173728975387	0.0	0.00154108780638	0.0016390694038	2.7837706173e-05	0.00174265448794			1.0
ASV891	ASV891	Proteobacteria	Alphaproteobacteria	Sphingomonadaceae	Croceicoccus	0.0	0.0	0.0	3.47766553378e-05	0.000926663178977	0.000492685349347	0.0	0.000961439834315			1.0
ASV897	ASV897	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.00183930287578	0.0001453068943	0.0	0.0	0.0	0.00198460977008	1.0	1.0	
ASV2621	ASV2621	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.0	0.0	0.000638048345197	0.0	0.0	0.0	0.0	0.000638048345197	1.0	1.0	
BE196																
ASV188	ASV188	Deinococcus-Thermus	Deinococci	Deinococcaceae	Deinococcus	0.0	4.44879437672e-06	0.0	0.0	0.000651614906877	0.000670969960859	4.44879437672e-06	0.000656063701253			1.0
ASV5115	ASV5115	Proteobacteria	Gammaproteobacteria	Moraxellaceae	Acinetobacter	0.0	0.0	4.47600520307e-05	0.0	8.09116617508e-05	0.0	0.0	0.000125671713782			
BE178																
BE179																
BE170																
BE171																
BE172																
BE173																
ASV4705	ASV4705	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.0	0.0	0.00029031648022	0.0	0.0	0.0	0.0	0.00029031648022		1.0	
ASV808	ASV808	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Rhizobacter	0.000666988334538	0.0	0.000327521715416	7.34939260633e-05	6.24897296972e-05	0.000455405153852	0.000666988334538	0.000463505371177	1.0		
