ASV	Taxonomy
ASV2719	Proteobacteria Alphaproteobacteria Rhizobiaceae
BE42	
ASV2717	Armatimonadetes Fimbriimonadia Fimbriimonadaceae
BE41	
BE47	
ASV2481	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV3270	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV336	Actinobacteria Thermoleophilia 67-14
ASV335	Proteobacteria Deltaproteobacteria Nannocystaceae
ASV332	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV5417	Proteobacteria Alphaproteobacteria Beijerinckiaceae
ASV1404	Proteobacteria Alphaproteobacteria Dongiaceae
ASV237	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV236	Proteobacteria Alphaproteobacteria Beijerinckiaceae
ASV234	Actinobacteria Actinobacteria Streptomycetaceae
ASV233	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV231	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV1019	Actinobacteria Actinobacteria Streptomycetaceae
ASV480	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1390	Proteobacteria Alphaproteobacteria Sphingomonadaceae
BE216	
ASV481	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV2806	Acidobacteria Thermoanaerobaculia Thermoanaerobaculaceae
ASV1398	Acidobacteria Thermoanaerobaculia Thermoanaerobaculaceae
ASV893	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV891	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV897	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV2621	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV899	Bacteroidetes Bacteroidia Hymenobacteraceae
ASV5115	Proteobacteria Gammaproteobacteria Moraxellaceae
BE178	
BE179	
ASV1271	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
BE170	
BE171	
BE172	
BE173	
ASV4705	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV808	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV499	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV807	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV152	Bacteroidetes Bacteroidia Saprospiraceae
