qseqid	label	node	font_color	number	font_type	background_colr
ASV3	label	node	#000000	1	bold	#ffff00
ASV8	label	node	#000000	1	bold	#ffff00
ASV11	label	node	#000000	1	bold	#ffff00
ASV12	label	node	#000000	1	bold	#ffff00
ASV13	label	node	#000000	1	bold	#ffff00
ASV14	label	node	#000000	1	bold	#ffff00
ASV19	label	node	#000000	1	bold	#ffff00
ASV23	label	node	#000000	1	bold	#ffff00
ASV39	label	node	#000000	1	bold	#ffff00
ASV43	label	node	#000000	1	bold	#ffff00
ASV49	label	node	#000000	1	bold	#ffff00
ASV58	label	node	#000000	1	bold	#ffff00
ASV60	label	node	#000000	1	bold	#ffff00
ASV65	label	node	#000000	1	bold	#ffff00
ASV77	label	node	#000000	1	bold	#ffff00
ASV81	label	node	#000000	1	bold	#ffff00
ASV90	label	node	#000000	1	bold	#ffff00
ASV91	label	node	#000000	1	bold	#ffff00
ASV99	label	node	#000000	1	bold	#ffff00
ASV104	label	node	#000000	1	bold	#ffff00
ASV129	label	node	#000000	1	bold	#ffff00
ASV135	label	node	#000000	1	bold	#ffff00
ASV146	label	node	#000000	1	bold	#ffff00
ASV147	label	node	#000000	1	bold	#ffff00
ASV150	label	node	#000000	1	bold	#ffff00
ASV151	label	node	#000000	1	bold	#ffff00
ASV163	label	node	#000000	1	bold	#ffff00
ASV169	label	node	#000000	1	bold	#ffff00
ASV171	label	node	#000000	1	bold	#ffff00
ASV172	label	node	#000000	1	bold	#ffff00
ASV181	label	node	#000000	1	bold	#ffff00
ASV187	label	node	#000000	1	bold	#ffff00
ASV188	label	node	#000000	1	bold	#ffff00
ASV193	label	node	#000000	1	bold	#ffff00
ASV202	label	node	#000000	1	bold	#ffff00
ASV212	label	node	#000000	1	bold	#ffff00
ASV217	label	node	#000000	1	bold	#ffff00
ASV233	label	node	#000000	1	bold	#ffff00
ASV236	label	node	#000000	1	bold	#ffff00
ASV247	label	node	#000000	1	bold	#ffff00
ASV261	label	node	#000000	1	bold	#ffff00
ASV263	label	node	#000000	1	bold	#ffff00
ASV266	label	node	#000000	1	bold	#ffff00
ASV270	label	node	#000000	1	bold	#ffff00
ASV283	label	node	#000000	1	bold	#ffff00
ASV296	label	node	#000000	1	bold	#ffff00
ASV302	label	node	#000000	1	bold	#ffff00
ASV306	label	node	#000000	1	bold	#ffff00
ASV321	label	node	#000000	1	bold	#ffff00
ASV338	label	node	#000000	1	bold	#ffff00
ASV350	label	node	#000000	1	bold	#ffff00
ASV360	label	node	#000000	1	bold	#ffff00
ASV361	label	node	#000000	1	bold	#ffff00
ASV362	label	node	#000000	1	bold	#ffff00
ASV393	label	node	#000000	1	bold	#ffff00
ASV420	label	node	#000000	1	bold	#ffff00
ASV421	label	node	#000000	1	bold	#ffff00
ASV430	label	node	#000000	1	bold	#ffff00
ASV452	label	node	#000000	1	bold	#ffff00
ASV459	label	node	#000000	1	bold	#ffff00
ASV477	label	node	#000000	1	bold	#ffff00
ASV480	label	node	#000000	1	bold	#ffff00
ASV481	label	node	#000000	1	bold	#ffff00
ASV492	label	node	#000000	1	bold	#ffff00
ASV509	label	node	#000000	1	bold	#ffff00
ASV518	label	node	#000000	1	bold	#ffff00
ASV522	label	node	#000000	1	bold	#ffff00
ASV532	label	node	#000000	1	bold	#ffff00
ASV582	label	node	#000000	1	bold	#ffff00
ASV597	label	node	#000000	1	bold	#ffff00
ASV600	label	node	#000000	1	bold	#ffff00
ASV617	label	node	#000000	1	bold	#ffff00
ASV665	label	node	#000000	1	bold	#ffff00
ASV678	label	node	#000000	1	bold	#ffff00
ASV687	label	node	#000000	1	bold	#ffff00
ASV722	label	node	#000000	1	bold	#ffff00
ASV765	label	node	#000000	1	bold	#ffff00
ASV792	label	node	#000000	1	bold	#ffff00
ASV808	label	node	#000000	1	bold	#ffff00
ASV810	label	node	#000000	1	bold	#ffff00
ASV847	label	node	#000000	1	bold	#ffff00
ASV891	label	node	#000000	1	bold	#ffff00
ASV895	label	node	#000000	1	bold	#ffff00
ASV897	label	node	#000000	1	bold	#ffff00
ASV901	label	node	#000000	1	bold	#ffff00
ASV956	label	node	#000000	1	bold	#ffff00
ASV958	label	node	#000000	1	bold	#ffff00
ASV985	label	node	#000000	1	bold	#ffff00
ASV1007	label	node	#000000	1	bold	#ffff00
ASV1023	label	node	#000000	1	bold	#ffff00
ASV1024	label	node	#000000	1	bold	#ffff00
ASV1030	label	node	#000000	1	bold	#ffff00
ASV1046	label	node	#000000	1	bold	#ffff00
ASV1069	label	node	#000000	1	bold	#ffff00
ASV1075	label	node	#000000	1	bold	#ffff00
ASV1106	label	node	#000000	1	bold	#ffff00
ASV1114	label	node	#000000	1	bold	#ffff00
ASV1138	label	node	#000000	1	bold	#ffff00
ASV1140	label	node	#000000	1	bold	#ffff00
ASV1166	label	node	#000000	1	bold	#ffff00
ASV1215	label	node	#000000	1	bold	#ffff00
ASV1261	label	node	#000000	1	bold	#ffff00
ASV1320	label	node	#000000	1	bold	#ffff00
ASV1334	label	node	#000000	1	bold	#ffff00
ASV1342	label	node	#000000	1	bold	#ffff00
ASV1350	label	node	#000000	1	bold	#ffff00
ASV1356	label	node	#000000	1	bold	#ffff00
ASV1379	label	node	#000000	1	bold	#ffff00
ASV1414	label	node	#000000	1	bold	#ffff00
ASV1415	label	node	#000000	1	bold	#ffff00
ASV1434	label	node	#000000	1	bold	#ffff00
ASV1488	label	node	#000000	1	bold	#ffff00
ASV1490	label	node	#000000	1	bold	#ffff00
ASV1496	label	node	#000000	1	bold	#ffff00
ASV1510	label	node	#000000	1	bold	#ffff00
ASV1518	label	node	#000000	1	bold	#ffff00
ASV1585	label	node	#000000	1	bold	#ffff00
ASV1592	label	node	#000000	1	bold	#ffff00
ASV1601	label	node	#000000	1	bold	#ffff00
ASV1607	label	node	#000000	1	bold	#ffff00
ASV1654	label	node	#000000	1	bold	#ffff00
ASV1677	label	node	#000000	1	bold	#ffff00
ASV1699	label	node	#000000	1	bold	#ffff00
ASV1736	label	node	#000000	1	bold	#ffff00
ASV1757	label	node	#000000	1	bold	#ffff00
ASV1786	label	node	#000000	1	bold	#ffff00
ASV1796	label	node	#000000	1	bold	#ffff00
ASV1811	label	node	#000000	1	bold	#ffff00
ASV1819	label	node	#000000	1	bold	#ffff00
ASV1831	label	node	#000000	1	bold	#ffff00
ASV1893	label	node	#000000	1	bold	#ffff00
ASV1894	label	node	#000000	1	bold	#ffff00
ASV1903	label	node	#000000	1	bold	#ffff00
ASV1915	label	node	#000000	1	bold	#ffff00
ASV1985	label	node	#000000	1	bold	#ffff00
ASV1994	label	node	#000000	1	bold	#ffff00
ASV2033	label	node	#000000	1	bold	#ffff00
ASV2053	label	node	#000000	1	bold	#ffff00
ASV2066	label	node	#000000	1	bold	#ffff00
ASV2116	label	node	#000000	1	bold	#ffff00
ASV2131	label	node	#000000	1	bold	#ffff00
ASV2151	label	node	#000000	1	bold	#ffff00
ASV2164	label	node	#000000	1	bold	#ffff00
ASV2203	label	node	#000000	1	bold	#ffff00
ASV2204	label	node	#000000	1	bold	#ffff00
ASV2232	label	node	#000000	1	bold	#ffff00
ASV2237	label	node	#000000	1	bold	#ffff00
ASV2240	label	node	#000000	1	bold	#ffff00
ASV2288	label	node	#000000	1	bold	#ffff00
ASV2333	label	node	#000000	1	bold	#ffff00
ASV2444	label	node	#000000	1	bold	#ffff00
ASV2454	label	node	#000000	1	bold	#ffff00
ASV2461	label	node	#000000	1	bold	#ffff00
ASV2500	label	node	#000000	1	bold	#ffff00
ASV2529	label	node	#000000	1	bold	#ffff00
ASV2530	label	node	#000000	1	bold	#ffff00
ASV2669	label	node	#000000	1	bold	#ffff00
ASV2700	label	node	#000000	1	bold	#ffff00
ASV2719	label	node	#000000	1	bold	#ffff00
ASV2732	label	node	#000000	1	bold	#ffff00
ASV2740	label	node	#000000	1	bold	#ffff00
ASV2781	label	node	#000000	1	bold	#ffff00
ASV2853	label	node	#000000	1	bold	#ffff00
ASV2860	label	node	#000000	1	bold	#ffff00
ASV2865	label	node	#000000	1	bold	#ffff00
ASV2888	label	node	#000000	1	bold	#ffff00
ASV2891	label	node	#000000	1	bold	#ffff00
ASV2910	label	node	#000000	1	bold	#ffff00
ASV2943	label	node	#000000	1	bold	#ffff00
ASV2965	label	node	#000000	1	bold	#ffff00
ASV2994	label	node	#000000	1	bold	#ffff00
ASV3002	label	node	#000000	1	bold	#ffff00
ASV3041	label	node	#000000	1	bold	#ffff00
ASV3139	label	node	#000000	1	bold	#ffff00
ASV3169	label	node	#000000	1	bold	#ffff00
ASV3228	label	node	#000000	1	bold	#ffff00
ASV3270	label	node	#000000	1	bold	#ffff00
ASV3360	label	node	#000000	1	bold	#ffff00
ASV3362	label	node	#000000	1	bold	#ffff00
ASV3394	label	node	#000000	1	bold	#ffff00
ASV3405	label	node	#000000	1	bold	#ffff00
ASV3423	label	node	#000000	1	bold	#ffff00
ASV3491	label	node	#000000	1	bold	#ffff00
ASV3497	label	node	#000000	1	bold	#ffff00
ASV3524	label	node	#000000	1	bold	#ffff00
ASV3528	label	node	#000000	1	bold	#ffff00
ASV3538	label	node	#000000	1	bold	#ffff00
ASV3549	label	node	#000000	1	bold	#ffff00
ASV3592	label	node	#000000	1	bold	#ffff00
ASV3663	label	node	#000000	1	bold	#ffff00
ASV3700	label	node	#000000	1	bold	#ffff00
ASV3747	label	node	#000000	1	bold	#ffff00
ASV3772	label	node	#000000	1	bold	#ffff00
ASV3822	label	node	#000000	1	bold	#ffff00
ASV3829	label	node	#000000	1	bold	#ffff00
ASV3833	label	node	#000000	1	bold	#ffff00
ASV3877	label	node	#000000	1	bold	#ffff00
ASV3899	label	node	#000000	1	bold	#ffff00
ASV4081	label	node	#000000	1	bold	#ffff00
ASV4123	label	node	#000000	1	bold	#ffff00
ASV4171	label	node	#000000	1	bold	#ffff00
ASV4193	label	node	#000000	1	bold	#ffff00
ASV4249	label	node	#000000	1	bold	#ffff00
ASV4250	label	node	#000000	1	bold	#ffff00
ASV4308	label	node	#000000	1	bold	#ffff00
ASV4313	label	node	#000000	1	bold	#ffff00
ASV4429	label	node	#000000	1	bold	#ffff00
ASV4431	label	node	#000000	1	bold	#ffff00
ASV4454	label	node	#000000	1	bold	#ffff00
ASV4464	label	node	#000000	1	bold	#ffff00
ASV4604	label	node	#000000	1	bold	#ffff00
ASV4621	label	node	#000000	1	bold	#ffff00
ASV4702	label	node	#000000	1	bold	#ffff00
ASV4704	label	node	#000000	1	bold	#ffff00
ASV4780	label	node	#000000	1	bold	#ffff00
ASV4805	label	node	#000000	1	bold	#ffff00
ASV4825	label	node	#000000	1	bold	#ffff00
ASV4853	label	node	#000000	1	bold	#ffff00
