SampleID	Sample	DNA_conc
1_GVCLHN1-BH	GVCLHN1-BH	16.1
2_GVCLHN1-BS	GVCLHN1-BS	9.71
3_GVCLHN2-BH	GVCLHN2-BH	2.37
4_GVCLHN2-BS	GVCLHN2-BS	2.44
5_GVFLHN1-BH	GVFLHN1-BH	20.3
6_GVFLHN1-BS	GVFLHN1-BS	16.7
7_GVFLHN2-BH	GVFLHN2-BH	23.8
8_GVFLHN2-BS	GVFLHN2-BS	32.9
9_GVFLHP1-BH	GVFLHP1-BH	19.8
10_GVFLHP1-BS	GVFLHP1-BS	17.6
11_GVFLHP2-BH	GVFLHP2-BH	25.3
12_GVFLHP2-BS	GVFLHP2-BS	26.4
13_GVN7HN1-BH	GVN7HN1-BH	55
14_GVN7HN1-BS	GVN7HN1-BS	38.4
15_GVN7HN2-BH	GVN7HN2-BH	58
16_GVN7HN2-BS	GVN7HN2-BS	42.7
17_GVN7HP1-BH	GVN7HP1-BH	42.5
18_GVN7HP1-BS	GVN7HP1-BS	33.4
19_GVN7HP2-BH	GVN7HP2-BH	58
20_GVN7HP2-BS	GVN7HP2-BS	42.5
21_RIFLHN1-BH	RIFLHN1-BH	9.27
22_RIFLHN1-BS	RIFLHN1-BS	11.9
23_RIFLHN2-BH	RIFLHN2-BH	20.4
24_RIFLHN2-BS	RIFLHN2-BS	11.1
25_RIFLHP1-BH	RIFLHP1-BH	11.6
26_RIFLHP1-BS	RIFLHP1-BS	9.49
27_RIFLHP2-BH	RIFLHP2-BH	27.8
28_RIFLHP2-BS	RIFLHP2-BS	16
29_RIN7HN1-BH	RIN7HN1-BH	57
30_RIN7HN1-BS	RIN7HN1-BS	26.5
31_RIN7HN2-BH	RIN7HN2-BH	40.8
32_RIN7HN2-BS	RIN7HN2-BS	44.5
33_RIN7HP1-BH	RIN7HP1-BH	46.3
34_RIN7HP1-BS	RIN7HP1-BS	34.2
35_RIN7HP2-BH	RIN7HP2-BH	43.6
36_RIN7HP2-BS	RIN7HP2-BS	57
37_GVCLHN1-BP	GVCLHN1-BP	1.51
38_GVCLHN1-CS	GVCLHN1-CS	0.864
39_GVCLHN2-BP	GVCLHN2-BP	0.239
40_GVCLHN2-CS	GVCLHN2-CS	0.12
41_GVFLHN1-BP	GVFLHN1-BP	1.86
42_GVFLHN1-CS	GVFLHN1-CS	4.47
43_GVFLHN2-BP	GVFLHN2-BP	2.11
44_GVFLHN2-CS	GVFLHN2-CS	2.59
45_GVFLHP1-BP	GVFLHP1-BP	3
46_GVFLHP1-CS	GVFLHP1-CS	5.63
47_GVFLHP2-BP	GVFLHP2-BP	4.96
48_GVFLHP2-CS	GVFLHP2-CS	1.71
49_GVN7HN1-BP	GVN7HN1-BP	8.54
50_GVN7HN1-CS	GVN7HN1-CS	7.47
51_GVN7HN2-BP	GVN7HN2-BP	4.17
52_GVN7HN2-CS	GVN7HN2-CS	3.24
53_GVN7HP1-BP	GVN7HP1-BP	5.59
54_GVN7HP1-CS	GVN7HP1-CS	3.18
55_GVN7HP2-BP	GVN7HP2-BP	5.02
56_GVN7HP2-CS	GVN7HP2-CS	1.12
57_RIN7HN1-CS	RIN7HN1-CS	4.43
58_RIN7HN2-CS	RIN7HN2-CS	2.33
59_RIN7HP1-CS	RIN7HP1-CS	9.58
60_RIN7HP2-CS	RIN7HP2-CS	1.93
61_GVCLHN1-CH	GVCLHN1-CH	0.052
62_GVCLHN1-RH	GVCLHN1-RH	0.314
63_GVCLHN1-RS	GVCLHN1-RS	0.237
64_GVCLHN2-CH	GVCLHN2-CH	0.198
65_GVCLHN2-RH	GVCLHN2-RH	0.241
66_GVCLHN2-RS	GVCLHN2-RS	0.074
67_GVFLHN1-CH	GVFLHN1-CH	0.26
68_GVFLHN1-RH	GVFLHN1-RH	0.49
69_GVFLHN1-RS	GVFLHN1-RS	0.121
