"Sample"	"Exp"	"input"	"filtered"	"seqtable"	"nonchim"	"ThreshReads"	"NoContamReads"
"1"	"10xBLS156_S303"	"Exp1"	76535	71931	69469	59843	59828	40949
"2"	"2xBLS143_S297"	"Exp1"	46036	42761	41067	35803	35790	19771
"3"	"5xBLS120_S300"	"Exp1"	58139	52793	50890	44074	44060	20986
"4"	"BaseA_S310"	"Exp1"	43371	40476	38447	33584	33584	19392
"5"	"BaseB_S291"	"Exp1"	34654	31658	30425	26702	26698	14720
"6"	"BaseC_S294"	"Exp1"	45284	42044	40208	35261	35257	19858
"7"	"HCBF1_S247"	"Exp1"	29915	27657	24254	23261	17983	17942
"8"	"HCBF2_S259"	"Exp1"	25808	23026	18960	17860	14402	14391
"9"	"HCBF3_S271"	"Exp1"	42200	39087	32511	30819	24528	24499
"10"	"HCBN1_S211"	"Exp1"	38610	35282	28767	27385	24324	24287
"11"	"HCBN2_S223"	"Exp1"	50554	46282	38117	36145	31837	31816
"12"	"HCBN3_S235"	"Exp1"	29331	25023	19632	18637	16672	16650
"13"	"HCBP1_S283"	"Exp1"	53159	48871	40061	38080	29891	29876
"14"	"HCBP2_S200"	"Exp1"	34744	30730	24499	23317	18498	18495
"15"	"HCBP3_S212"	"Exp1"	43252	39347	32210	30427	23998	23968
"16"	"HCBS1_S224"	"Exp1"	39094	36268	35532	33552	31896	31832
"17"	"HCBS2_S236"	"Exp1"	39061	35267	34363	34087	32017	31976
"18"	"HCBS3_S248"	"Exp1"	37259	34588	33881	33202	32009	31534
"19"	"HCHF1_S250"	"Exp1"	34105	31597	29375	28674	24697	24625
"20"	"HCHF2_S262"	"Exp1"	24768	22819	21155	20453	17031	16928
"21"	"HCHF3_S274"	"Exp1"	30125	28031	26266	25538	20808	20333
"22"	"HCHN1_S214"	"Exp1"	20451	18734	15791	15170	13641	13593
"23"	"HCHN2_S226"	"Exp1"	20874	19211	17698	17193	15730	15195
"24"	"HCHN3_S238"	"Exp1"	25656	23455	21164	20501	18115	17589
"25"	"HCHP1_S286"	"Exp1"	25840	23859	21305	20805	17893	17542
"26"	"HCHP2_S203"	"Exp1"	25938	23498	20753	19858	16585	16298
"27"	"HCHP3_S215"	"Exp1"	24758	22776	20315	19675	16208	15925
"28"	"HCHS1_S227"	"Exp1"	23586	22058	21919	21839	20893	20861
"29"	"HCHS2_S239"	"Exp1"	30172	27508	27227	27179	24565	24381
"30"	"HCHS3_S251"	"Exp1"	27888	25762	25495	25384	24376	24245
"31"	"HCRF1_S201"	"Exp1"	14600	13182	11045	10529	8420	8206
"32"	"HCRF2_S213"	"Exp1"	36302	33546	30427	29114	25962	25086
"33"	"HCRF3_S225"	"Exp1"	52978	48724	43926	42090	35559	33875
"34"	"HCRN1_S260"	"Exp1"	59630	53156	46769	44531	41138	40518
"35"	"HCRN2_S272"	"Exp1"	57732	53392	49391	47207	45285	42940
"36"	"HCRN3_S284"	"Exp1"	61926	57522	53617	51285	49167	46511
"37"	"HCRP1_S237"	"Exp1"	52513	47026	41916	39669	36307	35329
"38"	"HCRP2_S249"	"Exp1"	52543	48895	44845	42172	38912	37124
"39"	"HCRP3_S261"	"Exp1"	35991	32370	29025	28193	25242	24212
"40"	"HCRS1_S273"	"Exp1"	37440	35301	34298	33034	31210	29673
"41"	"HCRS2_S285"	"Exp1"	31501	29693	28986	27515	27341	26286
"42"	"HCRS3_S202"	"Exp1"	24329	22456	21805	21474	21267	19651
"43"	"Hneg1_S263"	"Exp1"	1050	836	804	804	608	53
"44"	"NegativeH2O_S282"	"Exp1"	151	86	53	53	53	46
"45"	"UMGC_H2O_001_A04_S4"	"Exp1"	644	479	466	466	365	76
"46"	"UMGC_H2O_001_A06_S6"	"Exp1"	1545	848	816	816	816	0
"47"	"UMGC_H2O_002_B04_S112"	"Exp1"	610	411	385	314	199	142
"48"	"UMGC_H2O_002_B06_S114"	"Exp1"	445	261	248	248	192	31
"49"	"UMGC_H2O_003_A07_S199"	"Exp1"	998	753	716	712	237	54
"50"	"UMGC_H2O_003_G11_S275"	"Exp1"	537	366	273	273	104	85
"51"	"UMGC_H2O_004_F03_S306"	"Exp1"	454	158	42	42	42	32
