"sample_name"	"library_ID"	"title"	"library_strategy"	"library_source"	"library_selection"	"library_layout"	"platform"	"instrument"	"design_description"	"filetype"	"filename"	"filename2"	"Experiment"
"HCBN1_S211"	"HCBN1_S211"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBN1_S211_R1_001.fastq.gz"	"HCBN1_S211_R2_001.fastq.gz"	1
"HCBN2_S223"	"HCBN2_S223"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBN2_S223_R1_001.fastq.gz"	"HCBN2_S223_R2_001.fastq.gz"	1
"HCBN3_S235"	"HCBN3_S235"	"16S amplicon of CS sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBN3_S235_R1_001.fastq.gz"	"HCBN3_S235_R2_001.fastq.gz"	1
"HCBF1_S247"	"HCBF1_S247"	"16S amplicon of CS sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBF1_S247_R1_001.fastq.gz"	"HCBF1_S247_R2_001.fastq.gz"	1
"HCBF2_S259"	"HCBF2_S259"	"16S amplicon of CS sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBF2_S259_R1_001.fastq.gz"	"HCBF2_S259_R2_001.fastq.gz"	1
"HCBF3_S271"	"HCBF3_S271"	"16S amplicon of CS sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBF3_S271_R1_001.fastq.gz"	"HCBF3_S271_R2_001.fastq.gz"	1
"HCBP1_S283"	"HCBP1_S283"	"16S amplicon of CS sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBP1_S283_R1_001.fastq.gz"	"HCBP1_S283_R2_001.fastq.gz"	1
"HCBP2_S200"	"HCBP2_S200"	"16S amplicon of CS sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBP2_S200_R1_001.fastq.gz"	"HCBP2_S200_R2_001.fastq.gz"	1
"HCBP3_S212"	"HCBP3_S212"	"16S amplicon of CS sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBP3_S212_R1_001.fastq.gz"	"HCBP3_S212_R2_001.fastq.gz"	1
"HCBS1_S224"	"HCBS1_S224"	"16S amplicon of CS sample from mesocosm withSand soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBS1_S224_R1_001.fastq.gz"	"HCBS1_S224_R2_001.fastq.gz"	1
"HCBS2_S236"	"HCBS2_S236"	"16S amplicon of CS sample from mesocosm withSand soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBS2_S236_R1_001.fastq.gz"	"HCBS2_S236_R2_001.fastq.gz"	1
"HCBS3_S248"	"HCBS3_S248"	"16S amplicon of CS sample from mesocosm withSand soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCBS3_S248_R1_001.fastq.gz"	"HCBS3_S248_R2_001.fastq.gz"	1
"HCRN1_S260"	"HCRN1_S260"	"16S amplicon of RT sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRN1_S260_R1_001.fastq.gz"	"HCRN1_S260_R2_001.fastq.gz"	1
"HCRN2_S272"	"HCRN2_S272"	"16S amplicon of RT sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRN2_S272_R1_001.fastq.gz"	"HCRN2_S272_R2_001.fastq.gz"	1
"HCRN3_S284"	"HCRN3_S284"	"16S amplicon of RT sample from mesocosm withLansing soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRN3_S284_R1_001.fastq.gz"	"HCRN3_S284_R2_001.fastq.gz"	1
"HCRF1_S201"	"HCRF1_S201"	"16S amplicon of RT sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRF1_S201_R1_001.fastq.gz"	"HCRF1_S201_R2_001.fastq.gz"	1
"HCRF2_S213"	"HCRF2_S213"	"16S amplicon of RT sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRF2_S213_R1_001.fastq.gz"	"HCRF2_S213_R2_001.fastq.gz"	1
"HCRF3_S225"	"HCRF3_S225"	"16S amplicon of RT sample from mesocosm withFlorence soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRF3_S225_R1_001.fastq.gz"	"HCRF3_S225_R2_001.fastq.gz"	1
"HCRP1_S237"	"HCRP1_S237"	"16S amplicon of RT sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRP1_S237_R1_001.fastq.gz"	"HCRP1_S237_R2_001.fastq.gz"	1
"HCRP2_S249"	"HCRP2_S249"	"16S amplicon of RT sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRP2_S249_R1_001.fastq.gz"	"HCRP2_S249_R2_001.fastq.gz"	1
"HCRP3_S261"	"HCRP3_S261"	"16S amplicon of RT sample from mesocosm withPendelton soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRP3_S261_R1_001.fastq.gz"	"HCRP3_S261_R2_001.fastq.gz"	1
"HCRS1_S273"	"HCRS1_S273"	"16S amplicon of RT sample from mesocosm withSand soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRS1_S273_R1_001.fastq.gz"	"HCRS1_S273_R2_001.fastq.gz"	1
"HCRS2_S285"	"HCRS2_S285"	"16S amplicon of RT sample from mesocosm withSand soil and Gv; Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm"	"AMPLICON"	"METAGENOMIC"	"PCR"	"paired"	"ILLUMINA"	"Illumina MiSeq"	"Prepared at University of Minnesota Genomics Center"	"fastq"	"HCRS2_S285_R1_001.fastq.gz"	"HCRS2_S285_R2_001.fastq.gz"	1
