# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab ssu_aln/ssu_aln.1/ssu_aln.1.tab --viterbi /home/be68/anaconda3/share/ssu-align-0.1.1/ssu-align-0p1.cm ssu_aln/IsolateSeqs.fasta.1
# date:       Fri Apr 19 15:40:58 2019
# num seqs:   55
# dbsize(Mb): 0.141452
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                    target coord   query coord                         
#                          ----------------------  ------------                         
# model name  target name       start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     BE26                  2        1326      1   1508    664.26         -   54
  archaea     BE27                  8        1332      1   1508    664.26         -   54
  archaea     BE28                 10        1334      1   1508    664.26         -   54
  archaea     BE29                  1        1321      1   1508    513.78         -   54
  archaea     BE30                  1        1321      1   1508    513.78         -   54
  archaea     BE31                  1        1292      1   1508    548.88         -   53
  archaea     BE31               1078        1059      1   1508     -0.43         -   60
  archaea     BE32                  1        1294      1   1508    539.38         -   53
  archaea     BE32               1078        1059      1   1508     -0.43         -   60
  archaea     BE33                  5        1097      1   1508    459.87         -   59
  archaea     BE34                  2        1290      1   1508    545.26         -   52
  archaea     BE34               1079        1060      1   1508     -0.43         -   60
  archaea     BE35                  3        1064      1   1508    394.64         -   56
  archaea     BE36                  1        1317      1   1508    660.79         -   55
  archaea     BE38                  2        1316      1   1508    596.59         -   54
  archaea     BE39                  5        1301      1   1508    581.58         -   56
  archaea     BE40                  1        1319      1   1508    478.21         -   54
  archaea     BE41                  4        1287      1   1508    543.85         -   55
  archaea     BE41                600         586      1   1508      1.23         -   47
  archaea     BE42                  1        1318      1   1508    675.37         -   55
  archaea     BE43                  8        1332      1   1508    664.26         -   54
  archaea     BE44                128        1316      1   1508    581.03         -   53
  archaea     BE44                368         349      1   1508      0.79         -   45
  archaea     BE45                  6        1330      1   1508    664.26         -   54
  archaea     BE46                128        1315      1   1508    582.15         -   53
  archaea     BE47                  2        1324      1   1508    596.27         -   54
  archaea     BE48                  5        1321      1   1508    523.26         -   55
  archaea     BE49                100        1274      1   1508    552.74         -   55
  archaea     BE49                546         537      1   1508      0.79         -   40
  archaea     BE50                  1        1331      1   1508    625.18         -   56
  archaea     BE50                618         609      1   1508      0.79         -   40
  archaea     BE51                  2        1285      1   1508    446.27         -   48
  archaea     BE51               1075        1056      1   1508     -0.43         -   60
  archaea     BE52                  1        1324      1   1508    516.75         -   55
  archaea     BE53                  1        1270      1   1508    562.77         -   55
  archaea     BE53                523         508      1   1508      1.30         -   44
  archaea     BE54                  2        1285      1   1508    543.85         -   55
  archaea     BE54                598         584      1   1508      1.23         -   47
  archaea     BE55                127        1314      1   1508    583.31         -   53
  archaea     BE56                126        1313      1   1508    573.50         -   53
  archaea     BE57                  1        1293      1   1508    550.85         -   53
  archaea     BE57               1078        1059      1   1508     -0.43         -   60
  archaea     BE59                  2        1262      1   1508    565.15         -   54
  archaea     BE59                524         509      1   1508      1.30         -   44
  archaea     BE60                  1        1313      1   1508    513.74         -   54
  archaea     BE61                127        1324      1   1508    582.06         -   53
  archaea     BE62                126        1313      1   1508    584.70         -   54
  archaea     BE63                  4        1328      1   1508    664.26         -   54
  archaea     BE64                  7        1331      1   1508    664.26         -   54
  archaea     BE65                  6        1330      1   1508    679.50         -   54
  archaea     BE65B                 5        1329      1   1508    664.26         -   54
  archaea     BE66                  7        1330      1   1508    600.76         -   51
  archaea     BE68                  4        1287      1   1508    539.16         -   55
  archaea     BE68                600         586      1   1508      1.23         -   47
  archaea     BE69                  1        1310      1   1508    513.52         -   54
  archaea     BE70                  1        1261      1   1508    570.33         -   55
  archaea     BE70                523         508      1   1508      1.30         -   44
  archaea     BE71                  4        1302      1   1508    632.06         -   57
  archaea     BE72                  3        1262      1   1508    573.84         -   57
  archaea     BE72                545         536      1   1508      0.79         -   40
  archaea     BE74                  7        1330      1   1508    600.76         -   51
  archaea     BE75                  7         738      1   1508    496.65         -   54
  archaea     BE76                  6         737      1   1508    496.65         -   54
  archaea     BE79                  5        1327      1   1508    700.20         -   55
  archaea     BE79                590         578      1   1508     -0.63         -   46
  archaea     BE80                  9        1332      1   1508    667.03         -   55
  archaea     BE80                593         581      1   1508     -0.63         -   46
  archaea     BE81                  9        1332      1   1508    667.03         -   55
  archaea     BE81                593         581      1   1508     -0.63         -   46
  archaea     BE82                  1        1263      1   1508    575.53         -   55
  archaea     BE82                545         536      1   1508      0.79         -   40
  archaea     BE83                  2        1250      1   1508    514.42         -   53
  archaea     BE83                478         447      1   1508      1.96         -   56
  archaea     BE84                  2        1276      1   1508    574.99         -   55
  archaea     BE84                480         449      1   1508      1.96         -   59
  archaea     BE85                  4        1300      1   1508    638.95         -   58
#
# Post-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  vit  loc      -       -1.00        76      0.4927
#
#    run time  (hr:min:sec)
# -----------
#    00:00:09
#
# Pre-search info for CM 2: bacteria
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: bacteria
#                                    target coord   query coord                         
#                          ----------------------  ------------                         
# model name  target name       start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------  ----------  ----------  -----  -----  --------  --------  ---
  bacteria    BE26                  1        1335      1   1582   1906.75         -   54
  bacteria    BE27                  4        1341      1   1582   1908.96         -   54
  bacteria    BE28                  6        1343      1   1582   1908.96         -   54
  bacteria    BE29                  1        1322      1   1582   1792.55         -   54
  bacteria    BE30                  1        1322      1   1582   1792.55         -   54
  bacteria    BE31                  1        1292      1   1582   1439.14         -   53
  bacteria    BE31               1104        1055      1   1582     -0.32         -   58
  bacteria    BE32                  1        1296      1   1582   1430.89         -   53
  bacteria    BE32               1104        1055      1   1582     -0.32         -   58
  bacteria    BE33                  2        1105      1   1582   1502.71         -   58
  bacteria    BE34                  2        1289      1   1582   1436.67         -   52
  bacteria    BE34               1105        1056      1   1582     -0.32         -   58
  bacteria    BE35                  2        1064      1   1582   1446.78         -   56
  bacteria    BE36                  1        1326      1   1582   1856.43         -   55
  bacteria    BE38                  2        1325      1   1582   1913.54         -   54
  bacteria    BE39                  2        1311      1   1582   1830.96         -   56
  bacteria    BE40                  1        1319      1   1582   1772.69         -   54
  bacteria    BE41                  1        1294      1   1582   1648.61         -   55
