# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab ssu_aln/ssu_aln.1/ssu_aln.1.tab --viterbi /home/be68/anaconda3/share/ssu-align-0.1.1/ssu-align-0p1.cm ssu_aln/seqs_thresh.fasta.1
# date:       Tue Dec 11 15:05:49 2018
# num seqs:   2721
# dbsize(Mb): 1.377332
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                    target coord   query coord                         
#                          ----------------------  ------------                         
# model name  target name       start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     ASV1                 27         250      1   1508    114.40         -   54
  archaea     ASV1                164         155      1   1508      0.79         -   40
  archaea     ASV2                 27         256      1   1508     52.67         -   47
  archaea     ASV3                 27         250      1   1508     99.31         -   53
  archaea     ASV3                164         155      1   1508      0.79         -   40
  archaea     ASV4                128         248      1   1508     26.75         -   56
  archaea     ASV4                142         130      1   1508     -0.63         -   46
  archaea     ASV5                 27         254      1   1508     39.96         -   46
  archaea     ASV6                 27         250      1   1508     70.66         -   54
  archaea     ASV7                 30         253      1   1508    116.59         -   56
  archaea     ASV8                 27         250      1   1508     75.44         -   50
  archaea     ASV8                 98          67      1   1508      1.96         -   56
  archaea     ASV9                218         254      1   1508      5.76         -   51
  archaea     ASV10                27         254      1   1508     39.60         -   46
  archaea     ASV11                27         250      1   1508     77.17         -   57
  archaea     ASV12                 8         250      1   1508     71.42         -   55
  archaea     ASV13                27         250      1   1508     73.05         -   55
  archaea     ASV13                77          68      1   1508      0.79         -   40
  archaea     ASV14                30         250      1   1508     62.47         -   43
  archaea     ASV15                27         250      1   1508    125.29         -   56
  archaea     ASV16                27         253      1   1508    100.84         -   54
  archaea     ASV17                30         250      1   1508     83.96         -   53
  archaea     ASV17               164         155      1   1508      0.79         -   40
