# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab ssu_aln/ssu_aln.1/ssu_aln.1.tab --viterbi /home/be68/anaconda3/share/ssu-align-0.1.1/ssu-align-0p1.cm ssu_aln/DADA2seqs.fasta.1
# date:       Fri Oct  5 13:25:03 2018
# num seqs:   3959
# dbsize(Mb): 2.004190
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                    target coord   query coord                         
#                          ----------------------  ------------                         
# model name  target name       start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     ASV1                 30         250      1   1508     62.46         -   46
  archaea     ASV2                 27         250      1   1508    108.47         -   53
  archaea     ASV2                164         155      1   1508      0.79         -   40
  archaea     ASV3                 30         250      1   1508     63.32         -   47
  archaea     ASV3                144         130      1   1508     -0.60         -   53
  archaea     ASV4                 27         256      1   1508     52.67         -   47
  archaea     ASV5                  8         250      1   1508     81.90         -   57
  archaea     ASV6                 30         250      1   1508     12.15         -   57
  archaea     ASV7                 27         250      1   1508     70.66         -   54
  archaea     ASV8                 27         250      1   1508     72.69         -   56
  archaea     ASV9                 27         250      1   1508     70.09         -   54
  archaea     ASV10                27         250      1   1508     86.28         -   51
  archaea     ASV11                30         250      1   1508    104.28         -   56
  archaea     ASV11               164         155      1   1508      0.79         -   40
  archaea     ASV12                27         250      1   1508     64.17         -   54
  archaea     ASV13                27         250      1   1508     85.57         -   52
  archaea     ASV14                 8         250      1   1508     93.61         -   51
  archaea     ASV15                27         250      1   1508    102.87         -   54
  archaea     ASV16                27         254      1   1508     39.96         -   46
  archaea     ASV17                27         250      1   1508     98.98         -   53
  archaea     ASV18               128         248      1   1508     26.75         -   56
  archaea     ASV18               142         130      1   1508     -0.63         -   46
  archaea     ASV19                27         250      1   1508    120.56         -   56
  archaea     ASV20                27         250      1   1508     72.43         -   53
  archaea     ASV21                27         250      1   1508    114.12         -   54
  archaea     ASV22                27         250      1   1508     80.51         -   53
  archaea     ASV22               164         155      1   1508      0.79         -   40
  archaea     ASV23                27         250      1   1508     94.30         -   50
  archaea     ASV23               164         155      1   1508      0.79         -   40
  archaea     ASV24                27         250      1   1508    115.40         -   54
  archaea     ASV24               164         129      1   1508     -0.48         -   47
  archaea     ASV25                27         250      1   1508     78.04         -   54
  archaea     ASV26               218         254      1   1508      5.76         -   51
  archaea     ASV27                27         250      1   1508     78.06         -   57
  archaea     ASV27                77          68      1   1508      0.79         -   40
  archaea     ASV28                30         250      1   1508     83.96         -   53
  archaea     ASV28               164         155      1   1508      0.79         -   40
  archaea     ASV29                30         250      1   1508     54.64         -   46
  archaea     ASV29               144         130      1   1508     -0.60         -   53
  archaea     ASV30                27         250      1   1508    104.13         -   54
  archaea     ASV30               164         155      1   1508      0.79         -   40
  archaea     ASV31                11         250      1   1508     90.68         -   55
  archaea     ASV32                27         250      1   1508    127.16         -   58
  archaea     ASV32               164         155      1   1508      0.79         -   40
  archaea     ASV33                27         254      1   1508     39.60         -   46
  archaea     ASV34                27         250      1   1508     75.44         -   50
  archaea     ASV34                98          67      1   1508      1.96         -   56
  archaea     ASV35                27         250      1   1508     83.57         -   52
  archaea     ASV35               164         155      1   1508      0.79         -   40
  archaea     ASV36                30         250      1   1508     13.05         -   56
  archaea     ASV37                 8         250      1   1508     82.21         -   58
  archaea     ASV38                27         253      1   1508    102.81         -   57
